EmployeeID,FlagReason,PerformanceTier,Role,Position,Branch#,BranchName,BranchAvgStars,Wage,AvgWorkingHours/Week,HiredOn,TenureMonths,PromotionStatus,MonthsToPromotion,Current status,Churned,AvgPerfScore,AgeAtHire,HighestEducationLevel,YearsOfRelevantExperience,PastRelevantExperience,hat_M1,cooks_M1,dfbeta_perf_M1
5764,High Leverage | High Cook's D | DFBETA PerfScore,High Performer,Manager,full-time,1,UBC,3.98,Minimum,48.8,2022-06-13,45.0,Promoted,9.0,Working,0,90.31,18,Bachelor,2,True,0.7751,3.9996,-1.0022
5853,High Leverage | High Cook's D | DFBETA PerfScore,High Performer,Manager,full-time,4,Main Street,3.79,Minimum,49.1,2024-04-11,23.1,Promoted,2.9,Working,0,90.92,27,Bachelor,2,True,0.609,1.1679,-1.0644
5572,High Leverage | High Cook's D | DFBETA PerfScore,High Performer,Manager,full-time,1,UBC,3.98,Competitive,49.0,2025-01-13,14.0,Promoted,2.0,Working,0,90.71,26,Bachelor,4,True,0.589,1.074,-0.7323
5401,High Leverage | High Cook's D | DFBETA PerfScore,Other,Bartender,full-time,1,UBC,3.98,Minimum,42.8,2021-07-14,15.9,Promoted,2.1,Left,1,75.45,23,Bachelor,0,False,0.5253,0.9284,-0.5536
5680,High Leverage | High Cook's D | DFBETA PerfScore,Other,Shift Lead,full-time,4,Main Street,3.79,Minimum,45.0,2025-05-07,10.2,Promoted,0.7,Working,0,68.69,21,Associate Degree,0,False,0.497,0.8744,-0.4229
5209,High Leverage | High Cook's D | DFBETA PerfScore,High Performer,Shift Lead,full-time,4,Main Street,3.79,Minimum,47.8,2021-10-12,29.3,Promoted,1.1,Left,1,89.43,22,Associate Degree,3,True,0.4523,0.7089,-0.3939
5534,High Leverage | High Cook's D | DFBETA PerfScore,Other,Shift Lead,full-time,5,Richmond,3.71,Premium,44.8,2021-11-01,27.9,Promoted,4.0,Left,1,81.91,16,Associate Degree,4,True,0.4128,0.5942,-0.3994
5289,High Leverage | High Cook's D | DFBETA PerfScore,Other,Bartender,full-time,5,Richmond,3.71,Minimum,42.4,2021-03-12,13.9,Promoted,2.8,Left,1,72.62,24,Bachelor,5,True,0.4117,0.5866,-0.5826
5822,High Leverage | High Cook's D | DFBETA PerfScore,Other,Shift Lead,full-time,7,Metrotown,3.8,Competitive,44.6,2021-08-31,33.5,Promoted,11.5,Left,1,84.75,17,Bachelor,1,True,0.413,0.581,-0.5464
5979,High Leverage | High Cook's D | DFBETA PerfScore,Other,Bartender,full-time,1,UBC,3.98,Minimum,40.6,2024-07-01,13.3,Promoted,0.7,Left,1,67.47,23,Associate Degree,6,True,0.3871,0.5376,-0.5596
