EmployeeID,Wage,HiredOn,Branch#,Current status,Position,Role,AvgWorkingHours/Week,ApplicantID,ExitDate,EndDate,TenureDays,TenureMonths,AvgPerfScore,Churned,YearOfBirth,HighestEducationLevel,YearsOfRelevantExperience,PastRelevantExperience,AgeAtHire,FirstPromoDate,EverPromoted,MonthsToPromotion
5764,Minimum,2022-06-13,1,Working,full-time,Manager,48.8,107642,,2026-03-14,1370,45.006570302233904,90.31,0,2004,Bachelor,2,True,18,2023-03-15,1,9.034165571616294
5997,Minimum,2024-02-26,1,Working,full-time,Manager,50.4,109966,,2026-03-14,747,24.540078843626805,89.35,0,2006,Bachelor,3,True,18,2025-01-24,1,10.939553219448094
5454,Competitive,2024-06-20,1,Working,full-time,Manager,49.2,104693,,2026-03-14,632,20.76215505913272,77.7,0,1989,Master,0,False,35,2024-12-25,1,6.176084099868594
5557,Competitive,2024-09-04,1,Working,full-time,Manager,52.0,105628,,2026-03-14,556,18.265440210249672,71.92,0,2005,Associate Degree,0,False,19,2025-01-24,1,4.664914586070959
5923,Minimum,2024-12-07,1,Working,full-time,Manager,48.6,109352,,2026-03-14,462,15.177398160315374,89.04,0,2003,Bachelor,2,True,21,,0,
5572,Competitive,2025-01-13,1,Working,full-time,Manager,49.0,105778,,2026-03-14,425,13.961892247043364,90.71,0,1999,Bachelor,4,True,26,2025-03-16,1,2.0367936925098555
5155,Minimum,2025-03-07,1,Working,full-time,Manager,49.6,101678,,2026-03-14,372,12.220762155059132,79.69,0,2005,Associate Degree,4,True,20,,0,
5711,Premium,2025-04-15,1,Working,full-time,Shift Lead,45.0,107139,,2026-03-14,333,10.939553219448094,81.48,0,2003,High School,2,True,22,,0,
5669,Competitive,2025-05-15,1,Working,part-time,Shift Lead,27.1,106796,,2026-03-14,303,9.95400788436268,68.83,0,2002,High School,6,True,23,,0,
5099,Competitive,2025-05-29,1,Working,full-time,Shift Lead,44.0,101123,,2026-03-14,289,9.494086727989487,85.44,0,2007,High School,2,True,18,,0,
5457,Minimum,2025-07-23,1,Working,part-time,Shift Lead,24.8,104707,,2026-03-14,234,7.687253613666228,74.92,0,2000,High School,0,False,25,,0,
5305,Competitive,2025-08-30,1,Working,full-time,Shift Lead,44.2,103377,,2026-03-14,196,6.438896189224704,85.44,0,1999,Bachelor,2,True,26,,0,
5119,Minimum,2025-10-04,1,Working,part-time,Shift Lead,22.2,101287,,2026-03-14,161,5.289093298291721,85.31,0,2002,Master,2,True,23,,0,
5544,Minimum,2025-10-20,1,Working,full-time,Shift Lead,44.8,105535,,2026-03-14,145,4.763469119579501,93.66,0,1995,Bachelor,3,True,30,,0,
5973,Minimum,2025-11-07,1,Working,part-time,Shift Lead,26.9,109813,,2026-03-14,127,4.1721419185282524,76.18,0,2005,Bachelor,0,False,20,,0,
5156,Minimum,2025-11-21,1,Working,full-time,Shift Lead,44.8,101689,,2026-03-14,113,3.712220762155059,85.23,0,2000,Bachelor,3,True,25,,0,
5793,Minimum,2025-12-12,1,Working,part-time,Shift Lead,24.2,107897,,2026-03-14,92,3.0223390275952693,82.18,0,2001,Associate Degree,3,True,24,,0,
5527,Competitive,2025-12-16,1,Working,full-time,Shift Lead,45.9,105333,,2026-03-14,88,2.890932982917214,93.86,0,1996,Bachelor,4,True,29,,0,
5203,Minimum,2021-08-09,1,Left,part-time,Shift Lead,24.3,102154,2024-07-29,2024-07-29,1085,35.64388961892247,94.64,1,2001,Bachelor,2,True,20,2022-07-22,1,11.399474375821287
5967,Minimum,2022-11-09,1,Left,full-time,Shift Lead,44.6,109732,2025-07-09,2025-07-09,973,31.964520367936924,81.78,1,2000,Associate Degree,2,True,22,2023-12-04,1,12.81208935611038
5991,Minimum,2021-07-28,1,Left,part-time,Shift Lead,28.2,109941,2023-09-30,2023-09-30,794,26.084099868593952,88.24,1,1992,Bachelor,3,True,29,2022-10-08,1,14.35611038107753
